"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 18:30:54 IST 2024","Wed Jan 10 18:31:20 IST 2024","25952","chromium","Actions.spec.js","","","","Mouse Action",""
"passed","Wed Jan 10 17:10:02 IST 2024","Wed Jan 10 17:10:12 IST 2024","10541","chromium","firstTest.spec.js","","","","Google tittle Assertion",""
